Zaman_saniye,Cikis_Voltaji_V,Bobin_Akimi_A
0.0,0.0,0.0
5e-07,4.691331106027922e-05,0.019148920199579776
1e-06,0.00018956124764653095,0.038297740586234655
1.5e-06,0.0004279330893678173,0.05744635932016158
2e-06,0.0007620176078051905,0.07659467457322702
2.5e-06,0.001191803066624276,0.09574258452950735
3e-06,0.001717277221690548,0.11488998738582899
3.5e-06,0.002338427321187297,0.13403678135230904
4e-06,0.003055240105736278,0.15318286465289455
4.5e-06,0.003867701808521049,0.17232813552590315
5e-06,0.004775798155413005,0.19147249222456217
5.5e-06,0.005779514365100076,0.21061583301754877
6e-06,0.006878835149218132,0.2297580561895293
6.5000000000000004e-06,0.008073744712485051,0.24889906004169832
7e-06,0.009342742127672464,0.255017471172547
7.5e-06,0.010616765837932222,0.25500686794998184
8e-06,0.011890600510428695,0.25499490948098646
8.5e-06,0.013164239389464349,0.2549815959701864
9e-06,0.014437675721085992,0.25496692762939327
9.5e-06,0.01571090275312056,0.2549509046776032
1e-05,0.016983913735210812,0.25531650606439865
1.05e-05,0.018305530024195247,0.27444669377775316
1.1e-05,0.01972265118420882,0.2935754257303523
1.15e-05,0.02123525974000343,0.3127026003303332
1.2e-05,0.022843337710263853,0.33182811600468914
1.25e-05,0.024546866607755957,0.3509518711998051
1.3000000000000001e-05,0.02634582743947774,0.3700737643819972
1.35e-05,0.028240200706812935,0.38919369403805043
1.4e-05,0.03022996640568737,0.40831155867575675
1.45e-05,0.03231510402672792,0.427427256824452
1.5e-05,0.0344955925554242,0.44654068703555433
1.55e-05,0.0367714104722929,0.4656517478831011
1.6e-05,0.039142535753044765,0.484760337964285
1.65e-05,0.04160894586875437,0.5038663558999931
1.7e-05,0.044149133160867216,0.5099484286155698
1.7500000000000002e-05,0.04669402934356199,0.5099001348129357
1.8e-05,0.049238412357418306,0.5098491339402452
1.85e-05,0.051782268722577754,0.5097954265504496
1.9e-05,0.05432558496338579,0.5097390132108391
1.95e-05,0.05686834760846299,0.5096798945030361
2e-05,0.05941054319077613,0.5100010497463964
2.05e-05,0.0620009863530536,0.5290854413058135
2.1e-05,0.0646865699479216,0.5481670274780301
2.15e-05,0.06746726979126012,0.5672457070623829
2.2e-05,0.07034306119555411,0.5863213788841976
2.25e-05,0.07331391897007726,0.6053939417953264
2.3e-05,0.0763798174210782,0.6244632946746815
